entity,author,added,deleted
src/actions/technicianActions.js,Daniel Nalbach,7,0
src/actions/technicianActions.js,Jeff Tougas,14,0
src/actions/technicianActions.test.js,Daniel Nalbach,10,1
src/actions/technicianActions.test.js,Jeff Tougas,20,0
src/applicationConfig.js,Gary Paige,32,38
src/applicationConfig.js,Muhamed Brifkani,13,4
src/applicationConfig.js,Jeff Tougas,2,1
src/clients/__mocks__/algoliasearch.js,Gary Paige,33,1
src/clients/__mocks__/gapiClient.js,Gary Paige,57,2
src/clients/__mocks__/mixpanel-browser.js,Gary Paige,13,0
src/clients/algoliaClient.js,Gary Paige,101,23
src/clients/algoliaClient.js,Jeff Tougas,18,1
src/clients/algoliaClient.test.js,Gary Paige,89,11
src/clients/analyticsClient.js,Gary Paige,14,6
src/clients/analyticsClient.js,Daniel Nalbach,2,2
src/clients/analyticsClient.js,brennanbelew,19,0
src/clients/analyticsClient.test.js,Gary Paige,13,2
src/clients/analyticsClient.test.js,brennanbelew,31,0
src/clients/bitlyClient.js,Gary Paige,18,0
src/clients/bitlyClient.test.js,Gary Paige,32,0
src/clients/dapulseClient.js,Gary Paige,87,4
src/clients/dapulseClient.js,brennanbelew,1,1
src/clients/dapulseClient.js,Jeff Tougas,53,33
src/clients/dapulseClient.test.js,Gary Paige,48,1
src/clients/featureToggleClient.js,Gary Paige,13,2
src/clients/featureToggleClient.js,brennanbelew,9,0
src/clients/featureToggleClient.test.js,Gary Paige,14,0
src/clients/featureToggleClient.test.js,brennanbelew,14,0
src/clients/gapiClient.js,pijus-kadisius,1,1
src/clients/gapiClient.js,Gary Paige,89,12
src/clients/gapiClient.test.js,Gary Paige,54,0
src/clients/mixpanelClient.js,Gary Paige,38,10
src/clients/mixpanelClient.js,brennanbelew,17,9
src/clients/mixpanelClient.test.js,Gary Paige,28,3
src/clients/mixpanelClient.test.js,brennanbelew,9,3
src/clients/sharedWorkerEventBusClient.js,Gary Paige,26,12
src/clients/sharedWorkerEventBusClient.js,Jeff Tougas,28,0
src/clients/sharedWorkerEventBusClient.test.js,Gary Paige,31,0
src/clients/socoConfigClient.js,Jeff Tougas,24,8
src/clients/socoConfigClient.js,Gary Paige,35,17
src/clients/socoConfigClient.js,Daniel Nalbach,13,3
src/clients/socoConfigClient.test.js,Gary Paige,4,28
src/clients/socoConfigClient.test.js,Daniel Nalbach,27,3
src/clients/socoConfigClient.test.js,Jeff Tougas,13,0
src/clients/technicianClient.js,Gary Paige,5,6
src/clients/technicianClient.js,Daniel Nalbach,11,54
src/clients/technicianClient.js,jacobmassengill,12,12
src/clients/technicianClient.js,Jeff Tougas,75,0
src/clients/technicianClient.test.js,Gary Paige,7,5
src/clients/technicianClient.test.js,Daniel Nalbach,29,37
src/clients/technicianClient.test.js,Alex Petty,2,3
src/clients/technicianClient.test.js,jacobmassengill,18,1
src/clients/technicianClient.test.js,Jeff Tougas,44,0
src/components/Activities/Activities.js,Ginu Philip Simon,67,1
src/components/Activities/Activities.js,Gary Paige,1,1
src/components/Activities/Activities.scss,Ginu Philip Simon,104,0
src/components/Activities/Activities.test.js,Gary Paige,1,1
src/components/Activities/Activities.test.js,Ginu Philip Simon,29,0
src/components/Activities/Activity.js,Ginu Philip Simon,130,8
src/components/Activities/Activity.js,Gary Paige,2,2
src/components/Activities/Activity.test.js,Gary Paige,1,1
src/components/Activities/Activity.test.js,Ginu Philip Simon,62,1
src/components/Activities/OnExDeviceInfo.js,Ginu Philip Simon,157,0
