language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.74  T=1.62 s (205.8 files/s, 11285.7 lines/s)"
JavaScript,./src/components/Content/BookmarkList/BookmarkList.test.js,4,1,27
Sass,./src/components/Search/Search.scss,4,0,27
JavaScript,./src/components/SearchResults/CardView/CardView.test.js,4,1,27
JavaScript,./src/utils/carrier.test.js,6,1,27
JavaScript,./src/clients/technicianClient.js,3,1,27
JavaScript,./src/reducers/helixStateReducer.test.js,4,0,27
JavaScript,./src/clients/__mocks__/gapiClient.js,4,1,27
JavaScript,./src/utils/operatingSystem.test.js,5,1,26
JavaScript,./src/components/SearchResults/CardView/CardView.js,3,1,26
JavaScript,./src/utils/eventBusWorker/onmessage.test.js,4,3,26
Bourne Shell,./test/features/support/qtest/submit-qtest.sh,12,4,26
JavaScript,./src/actions/tabActions.test.js,3,1,26
JavaScript,./src/selectors/activitiesSelector.test.js,4,1,26
JavaScript,./src/components/TabMenu/TabMenu.test.js,6,1,26
JavaScript,./src/clients/__mocks__/algoliasearch.js,6,1,25
JavaScript,./src/reducers/index.js,2,1,25
JavaScript,./src/actions/technicianActions.test.js,3,1,25
JavaScript,./src/reducers/contentFlowReducer.test.js,3,0,25
JavaScript,./test/features/support/hooks.js,3,0,25
JavaScript,./src/actions/activitiesActions.js,4,1,25
JavaScript,./src/middleware/contentTabsMiddleware.test.js,5,1,25
JavaScript,./src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.js,3,1,25
JavaScript,./src/middleware/swebInMiddleware.js,3,2,24
JavaScript,./src/actions/healthActions.test.js,2,1,24
JavaScript,./src/clients/analyticsClient.js,2,1,24
JavaScript,./src/utils/breadcrumbsBuilder.js,2,1,24
Sass,./src/components/Header/HeaderTasks.scss,4,0,24
JavaScript,./src/clients/sharedWorkerEventBusClient.test.js,6,1,24
JavaScript,./src/utils/client.test.js,4,1,23
JSON,./locales/en-US/common.json,0,0,23
Sass,./src/components/SearchResults/CardView/ResultCard/Footer.scss,3,0,23
JavaScript,./src/models/activity.js,4,0,23
JavaScript,./src/index.js,1,2,23
JavaScript,./src/clients/mixpanelClient.js,4,1,23
JavaScript,./src/connectors/withSharedWorkerEventBus/__mocks__/connectSharedWorkerEventBus.js,6,1,22
Sass,./src/styles/icons.scss,6,0,22
JavaScript,./src/components/Activities/Activities.test.js,6,1,22
JavaScript,./src/components/Content/Content.test.js,5,1,22
JavaScript,./src/middleware/supportSessionMiddleware.js,3,1,22
Sass,./src/components/Content/ContentHeader/ContentHeader.scss,2,0,22
Sass,./src/components/Content/Landing/Landing.scss,4,0,22
JavaScript,./src/utils/breadcrumbsBuilder.test.js,2,0,22
JavaScript,./src/reducers/helixStateReducer.js,4,1,22
JavaScript,./src/utils/form/validation.test.js,4,1,21
JavaScript,./src/components/ContentFlow/ContentDetail/ContentFlowDetail.test.js,6,1,21
JavaScript,./src/reducers/featureToggleReducer.test.js,3,0,21
JavaScript,./src/middleware/contentTabsMiddleware.js,3,1,21
JavaScript,./src/utils/routeDecorators.test.js,3,1,21
JavaScript,./src/components/Content/AlertList/AlertList.js,3,1,21
JavaScript,./src/selectors/healthSelector.test.js,5,1,21
JavaScript,./src/components/Login/Login.test.js,3,1,21
Sass,./src/components/Loading/Loading.scss,5,0,20
JavaScript,./tools/jest/jestSetup.js,1,0,20
JavaScript,./src/clients/mixpanelClient.test.js,4,1,20
JavaScript,./src/utils/routeDecorators.js,3,1,20
JavaScript,./src/actions/tabActions.js,3,1,20
JavaScript,./src/middleware/featureToggleMiddleware.js,2,0,19
JavaScript,./src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.test.js,3,1,19
JavaScript,./src/selectors/routeSelector.test.js,2,1,19
JavaScript,./src/selectors/helixStateSelector.test.js,1,1,19
JavaScript,./src/middleware/swebInMiddleware.test.js,3,1,19
JavaScript,./src/reducers/healthReducer.test.js,3,0,18
JavaScript,./src/selectors/featureToggleSelector.test.js,2,1,18
JavaScript,./src/components/Content/ContentHeader/ContentHeader.test.js,3,1,18
JavaScript,./tools/test.js,6,8,18
JavaScript,./src/reducers/contentFlowReducer.js,4,1,17
JavaScript,./src/utils/eventBusWorker/index.js,3,0,17
JavaScript,./src/actions/technicianActions.js,3,1,17
JavaScript,./src/constants/contentTypes.js,2,1,17
JavaScript,./src/reducers/session.test.js,4,1,16
Bourne Shell,./scripts/deploy.sh,5,1,16
JavaScript,./src/selectors/tabSelector.js,6,1,16
JavaScript,./src/actions/helixStateActions.test.js,2,1,16
JavaScript,./src/reducers/authenticationReducer.test.js,3,0,16
JavaScript,./src/components/Loading/Loading.js,2,1,15
JavaScript,./src/actions/authenticationActions.test.js,1,1,15
JavaScript,./src/components/TabMenu/Tab.js,3,0,15
JavaScript,./src/components/Content/GeneralFeedback/GeneralFeedback.js,3,1,15
JavaScript,./src/models/subactivity.js,3,1,15
HTML,./public/index.html,2,8,15
JavaScript,./src/actions/healthActions.js,3,1,15
JavaScript,./src/components/Content/ContentHeader/ContentHeader.js,3,1,14
Sass,./src/components/Content/BookmarkList/BookmarkList.scss,3,0,14
JavaScript,./src/selectors/healthSelector.js,3,1,14
JavaScript,./src/store.test.js,5,1,14
Dockerfile,./Dockerfile,4,2,14
JavaScript,./src/components/ContentFlow/ContentDetail/ContentFlowDetail.js,3,1,13
Bourne Shell,./scripts/build.sh,3,0,13
JavaScript,./src/selectors/analyticStateSelector.js,2,1,13
JavaScript,./src/components/Content/Content.js,2,1,13
Sass,./src/components/SearchResults/SearchResults.scss,3,1,13
JavaScript,./src/selectors/pathBuilderSelector.js,2,1,13
JavaScript,./src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.js,4,1,13
JavaScript,./src/selectors/routeSelector.js,3,1,13
JavaScript,./src/components/Content/Landing/Landing.test.js,2,1,13
JavaScript,./src/utils/eventBusWorker/onconnect.test.js,2,2,13
JavaScript,./src/selectors/helixStateSelector.js,3,1,13
JavaScript,./src/selectors/contentFlowSelector.js,3,1,13
JavaScript,./src/components/Content/GeneralFeedback/GeneralFeedback.test.js,2,1,13
JavaScript,./src/actions/authenticationActions.js,3,1,12
JavaScript,./src/clients/bitlyClient.js,3,3,12
JavaScript,./src/actions/helixStateActions.js,3,1,12
JavaScript,./src/reducers/healthReducer.js,4,1,12
JavaScript,./src/reducers/authenticationReducer.js,4,1,12
JavaScript,./src/actions/sessionActions.test.js,1,1,12
JavaScript,./src/components/TabMenu/Tab.test.js,3,1,12
JavaScript,./src/clients/featureToggleClient.test.js,2,1,11
JavaScript,./src/middleware/swebOutMiddleware.js,2,1,11
JavaScript,./src/actions/featureActions.test.js,1,1,11
JavaScript,./src/selectors/userSelector.test.js,1,1,11
JavaScript,./src/utils/eventBusWorker/__mocks__/index.js,3,1,11
JSON,./env/features_dev.json,0,0,10
Sass,./src/components/Content/AlertList/AlertList.scss,1,0,10
JavaScript,./src/constants/serviceHeaderConstants.js,2,1,10
JavaScript,./src/clients/socoConfigClient.test.js,2,1,10
JavaScript,./src/components/Content/Landing/Landing.js,2,1,9
JavaScript,./src/components/Loading/Loading.test.js,1,1,9
JavaScript,./src/reducers/featureToggleReducer.js,4,1,9
JavaScript,./src/utils/operatingSystem.js,2,1,9
JavaScript,./src/actions/sharedWorkerEventBusActions.test.js,1,1,9
Sass,./src/components/Search/ResultsCounter.scss,1,0,9
JavaScript,./src/utils/eventBusWorker/onconnect.js,4,1,9
JSON,./env/features_public.json,0,0,9
JavaScript,./src/reducers/session.js,4,1,9
JavaScript,./src/i18n.test.js,1,1,9
JSON,./env/features_soco.json,0,0,9
JavaScript,./src/actions/featureActions.js,2,2,8
JavaScript,./src/clients/featureToggleClient.js,2,1,8
JavaScript,./tools/jest/cssTransform.js,1,3,8
JavaScript,./src/__mocks__/routerActionsMock.js,2,1,8
JavaScript,./src/clients/__mocks__/mixpanel-browser.js,4,1,8
JavaScript,./src/actions/sessionActions.js,1,2,7
JavaScript,./src/selectors/userSelector.js,2,1,7
JavaScript,./tools/jest/fileTransform.js,1,2,6
JavaScript,./src/actions/sharedWorkerEventBusActions.js,1,2,6
JavaScript,./src/constants/healthStates.js,1,0,5
JavaScript,./src/reducers/createReducer.js,0,1,5
JSON,./locales/en-US/share.json,0,0,5
JavaScript,./src/components/Content/ContentDetail/ContentFeatures/index.js,1,1,4
JavaScript,./src/types.js,0,1,4
JavaScript,./src/__mocks__/react-cookie.js,2,1,4
JSON,./locales/en-US/login.json,0,0,4
JSON,./locales/en-US/contentTypes.json,0,0,4
JavaScript,./src/utils/form/validation.js,0,1,4
JavaScript,./src/constants/technicianKeys.js,1,1,3
