entity,soc
public/assets/images/Bookmark.svg,182
public/assets/images/Alert.svg,182
env/features_dev.json,180
src/components/Content/GeneralFeedback/GeneralFeedback.test.js,177
src/components/Content/GeneralFeedback/GeneralFeedback.js,177
src/components/Content/ContentHeader/ContentHeader.test.js,177
src/components/Content/ContentHeader/ContentHeader.js,177
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.test.js,177
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.js,177
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.test.js,177
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.js,177
src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.test.js,177
src/components/Content/BookmarkList/BookmarkList.test.js,177
src/components/Content/BookmarkList/BookmarkList.js,177
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.test.js,177
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.js,177
src/components/Content/AlertList/AlertList.test.js,177
src/components/Content/AlertList/AlertList.js,177
src/clients/algoliaClient.test.js,174
src/clients/featureToggleClient.js,170
src/utils/eventBusWorker/index.js,166
src/components/Search/Pagination.test.js,161
src/components/Search/Pagination.js,161
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.test.js,159
src/components/Search/ResultsCounter.js,157
src/components/SearchResults/ResultCard/ResultCard.test.js,156
src/components/Activities/Activity.js,154
src/components/MostViewed/MostViewed.test.js,153
src/components/Activities/Activities.js,151
src/components/Content/index.js,149
src/selectors/featureToggleSelector.test.js,148
src/selectors/featureToggleSelector.js,148
src/reducers/featureToggleReducer.test.js,148
src/reducers/featureToggleReducer.js,148
src/middleware/featureToggleMiddleware.test.js,148
src/middleware/featureToggleMiddleware.js,148
src/actions/featureActions.test.js,148
src/actions/featureActions.js,148
src/Routes.test.js,148
src/components/ApplicationError/ApplicationError.test.js,147
src/components/SearchResults/ResultCard/ResultCard.scss,146
src/middleware/mixpanelDispatcher.js,144
src/components/Activities/Activity.test.js,143
src/middleware/algoliaClient.test.js,140
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/index.js,140
src/components/Activities/Activities.test.js,140
src/middleware/algoliaClient.js,139
src/components/NotFound/NotFound.test.js,130
src/middleware/technicianDispatcher.js,127
locales/en/common.json,126
src/components/TabMenu/Tab.js,125
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.js,122
src/components/NotFound/index.js,115
src/components/Content/DrawerContainer/ContentHeader/index.js,115
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.test.js,115
public/assets/images/LoaderTrans.gif,115
src/components/TabMenu/Tab.test.js,114
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.test.js,114
src/clients/featureToggleClient.test.js,114
src/i18n.test.js,109
src/i18n.js,109
src/reducers/contentFlowReducer.js,107
src/middleware/contentFlowMiddleware.test.js,107
src/components/ContentFlow/SearchResults/index.js,107
src/components/ContentFlow/SearchResults/ContentFlowSearchResults.test.js,107
src/components/ContentFlow/SearchResults/ContentFlowSearchResults.js,107
src/middleware/technicianDispatcher.test.js,104
src/components/Header/ResultsCounter.scss,103
src/applicationConfig.js,102
src/utils/eventBusWorker/__mocks__/index.js,101
src/components/Search/ResultsCounter.test.js,101
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.scss,101
src/connectors/connectSharedWorkerEventBus/__mocks__/connectSharedWorkerEventBus.js,100
src/components/SearchResults/index.js,99
src/components/SearchBox/index.js,99
src/middleware/mixpanelDispatcher.test.js,98
src/utils/carrier.js,95
flow-typed/npm/jest_v18.x.x.js,95
src/components/SearchResults/CardView/ResultCard/Footer.test.js,94
src/components/SearchResults/CardView/ResultCard/Footer.js,94
src/components/MostViewed/MostViewed.scss,92
src/connectors/connectSharedWorkerEventBus/connectSharedWorkerEventBus.test.js,90
src/components/Header/ResultsCounter.test.js,89
src/styles/semantic-ui/site/views/card.overrides,88
src/styles/icons.scss,88
src/connectors/connectSharedWorkerEventBus/index.js,88
src/connectors/connectSharedWorkerEventBus/connectSharedWorkerEventBus.js,88
src/components/Search/Search.scss,88
src/components/Content/GeneralFeedback/GeneralFeedback.scss,88
src/components/Content/ContentHeader/index.js,88
src/components/Content/ContentHeader/ContentHeader.scss,88
src/components/Content/ContentDetail/ContentFeatures/index.js,88
src/components/Content/ContentDetail/ContentDetail.scss,88
src/components/Content/BookmarkList/BookmarkList.scss,88
src/components/Content/BookmarkList/BookmarkCard/index.js,88
src/components/Content/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.test.js,88
src/components/Content/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.js,88
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.scss,88
src/components/Content/AlertList/AlertList.scss,88
src/clients/bitlyClient.test.js,88
src/clients/bitlyClient.js,88
locales/en-US/share.json,88
src/utils/carrier.test.js,86
src/middleware/dapulseClient.js,85
src/clients/socoConfigClient.js,85
src/components/LaunchKana/LaunchKana.js,84
src/middleware/__mocks__/algoliasearch.js,83
src/connectors/withErrors/ErrorHandler.test.js,83
src/components/LaunchKana/LaunchKana.scss,83
src/clients/dapulseClient.test.js,82
src/clients/socoConfigClient.test.js,78
src/components/SearchResults/CardView/ResultCard/index.js,74
src/reducers/technicianReducer.test.js,73
src/reducers/technicianReducer.js,73
src/actions/technicianActions.test.js,73
src/actions/technicianActions.js,73
src/components/Search/Pagination.scss,72
src/selectors/activitiesSelector.test.js,71
src/selectors/activitiesSelector.js,71
src/reducers/activityStatusReducers.test.js,71
src/reducers/activityStatusReducers.js,71
src/constants/Activities.js,71
src/components/Content/index.css,71
src/actions/activitiesActions.test.js,71
scripts/deploy.sh,69
public/assets/images/resizeDrawerIcon.svg,69
src/components/LaunchKana/index.js,68
src/clients/__mocks__/algoliasearch.js,68
src/components/SearchBox/SearchField.scss,67
src/utils/operatingSystem.test.js,66
src/middleware/triageMiddleware.test.js,66
src/middleware/searchMiddleware.test.js,66
src/middleware/searchMiddleware.js,66
src/components/LaunchKana/LaunchKana.test.js,66
src/Content/index.js,66
public/iframe.html,66
src/clients/sharedWorkerEventBusClient.js,65
locales/en/feedback.json,65
src/middleware/dapulseClient.test.js,63
src/components/Activities/Activities.scss,62
src/connectors/withErrors/index.js,61
src/connectors/withErrors/ErrorHandler.js,61
src/middleware/activitiesMiddleware.test.js,60
src/middleware/activitiesMiddleware.js,60
src/components/Content/index.scss,60
src/__mocks__/routerMock.js,60
src/clients/__mocks__/mixpanel-browser.js,58
.babelrc,58
README.md,57
src/utils/routeDecorators.test.js,56
src/utils/routeDecorators.js,56
src/utils/eventBusWorker/onmessage.test.js,56
src/utils/eventBusWorker/onconnect.test.js,56
src/middleware/swebInMiddleware.test.js,56
src/middleware/initializationMiddleware.test.js,56
src/components/searchFilters/index.js,56
src/components/searchFilters/SortBy/index.js,56
src/components/searchFilters/SortBy/SortBy.js,56
src/components/searchFilters/SelectFieldRefinementList/index.js,56
src/components/searchFilters/SelectFieldRefinementList/SelectFieldRefinementList.js,56
src/components/searchFilters/NestedList/index.js,56
src/components/searchFilters/NestedList/NestedList.js,56
src/components/searchFilters/CheckBoxRefinementList/index.js,56
src/components/searchFilters/CheckBoxRefinementList/CheckBoxRefinementList.js,56
src/components/searchFilters/ApplyTags/index.js,56
src/components/searchFilters/ApplyTags/ApplyTags.js,56
src/clients/sharedWorkerEventBusClient.test.js,56
src/actions/healthActions.test.js,56
src/App.css,56
env/features_soco.json,56
env/features_public.json,56
src/searchFilters/NestedList/index.js,55
src/components/SearchResults/ResultCard/index.js,55
scripts/build.sh,54
src/App.scss,53
locales/en-US/feedback.json,53
src/utils/operatingSystem.js,52
src/components/Feedback/index.js,52
flow-typed/npm/jest_v19.x.x.js,52
src/styles/orig.css,51
src/selectors/contentFlowSelector.js,51
src/models/subactivity.js,51
src/models/activity.js,51
src/middleware/analyticsDispatcher.js,51
src/components/ContentFlow/ContentDetail/index.js,51
src/components/Activities/index.js,51
src/utils/eventBusWorker/onmessage.js,50
src/searchFilters/CheckBoxRefinementList/index.js,50
src/index.css,49
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/index.js,49
src/SearchResults/index.js,48
src/SearchResults/ResultCard/index.js,48
main.js,47
src/utils/eventBusWorker/onconnect.js,46
src/router.js,46
src/featureToggleConfig.json,44
src/searchFilters/SortBy/index.js,43
src/SearchBox/index.js,43
flow/CSSModule.js.flow,43
src/searchFilters/ApplyTags/index.js,42
src/Home/index.js,42
src/searchFilters/SelectFieldRefinementList/index.js,41
src/reducers/session.test.js,41
tools/test.js,40
src/techNotifications/index.js,40
src/stories/index.js,40
src/reducers/routeSchemeReducer.test.js,40
src/reducers/routeSchemeReducer.js,40
.storybook/config.js,40
src/middleware/sharedWorkerMiddleware.js,39
src/Content/index.css,38
src/components/SearchResults/ResultCard/ResultCard.css,37
src/constants/healthStates.js,36
src/reducers/currentCarrier.test.js,32
src/reducers/currentCarrier.js,32
src/connectors/withSharedWorkerEventBus/index.js,32
src/components/ApplicationError/index.js,32
src/actions/carrierActions.test.js,32
src/actions/carrierActions.js,32
public/assets/images/derp.png,32
src/__mocks__/routerActionsMock.js,31
public/assets/images/question.png,29
src/middleware/analyticsDispatcher.test.js,28
locales/en-US/contentTypes.json,27
test/features/soluto-helix.feature,26
src/components/TabMenu/index.js,25
src/components/KnowledgeAlerts/index.js,25
public/assets/images/alertLandingModule_icon.png,25
src/middleware/contentDetailMiddleware.js,24
src/components/MostViewed/index.js,23
public/assets/images/mostViewed_icon.png,23
.gitignore,23
test/features/pages/soluto-helix-page.js,22
src/utils/client.js,21
src/reducers/session.js,21
src/models/technician.test.js,21
src/constants/technicianKeys.js,21
test/features/step_definitions/soluto-helix.js,20
src/selectors/analyticStateSelector.js,20
public/assets/images/resizeDrawerIcon.png,20
src/connectors/connectSharedWorker/connectSharedWorker.test.js,19
src/connectors/connectSharedWorker/index.js,17
src/connectors/connectSharedWorker/connectSharedWorker.js,17
src/connectors/connectSharedWorker/__mocks__/connectSharedWorker.js,17
src/actions/index.js,17
src/CustomHits/index.js,17
src/utils/__tests__/carrier.js,16
src/middleware/sharedWorkerMiddleware.test.js,16
src/components/Content/__tests__/Content.js,16
src/__tests__/App.js,16
public/assets/images/mostRecent_icon.png,16
.eslintignore,16
src/utils/mixPanelEvents.js,14
test/features/support/hooks.js,13
jest/fileTransform.js,13
jest/cssTransform.js,13
src/components/Search/ResultsCounter.scss,12
public/assets/images/logo.svg,12
src/components/Header/Navbar.test.js,11
src/components/Activities/OnExDeviceInfo.test.js,11
src/components/Activities/OnExDeviceInfo.js,11
test/features/support/commandLineUitilityHelper.js,10
src/components/SearchBox/NotFound/index.js,10
src/components/SearchBox/NotFound/NotFound.js,10
public/favicon.ico,10
tools/jest/fileTransform.js,9
tools/jest/cssTransform.js,9
src/actions/sharedWorkerEventBusActions.js,9
Dockerfile,9
test/features/support/environmentConfig.js,8
src/reducers/createReducer.js,8
src/components/Header/HeaderComponent.js,8
src/actions/sessionActions.js,8
src/__mocks__/react-cookie.js,8
src/__mocks__/mixpanelMiddleware.js,8
src/components/Dashboard/index.js,7
