entity,main-dev,added,total-added,ownership
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.js,Gary Paige,311,373,0.83
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.scss,Gary Paige,477,497,0.96
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.test.js,Gary Paige,177,208,0.85
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.js,Jeff Tougas,87,112,0.78
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.scss,Jeff Tougas,85,85,1
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.test.js,Jeff Tougas,81,90,0.9
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/index.js,Jeff Tougas,1,1,1
src/components/Content/DrawerContainer/ContentDetail/contentTransforms.js,Gary Paige,62,74,0.84
src/components/Content/DrawerContainer/ContentDetail/contentTransforms.test.js,Gary Paige,73,79,0.92
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.js,Gary Paige,19,19,1
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.scss,Gary Paige,27,27,1
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.test.js,Gary Paige,24,24,1
src/components/Content/DrawerContainer/ContentHeader/index.js,Gary Paige,1,1,1
src/components/Content/DrawerContainer/ContentToolbar/ContentToolbar.js,Gary Paige,107,109,0.98
src/components/Content/DrawerContainer/ContentToolbar/ContentToolbar.scss,Gary Paige,64,70,0.91
src/components/Content/DrawerContainer/ContentToolbar/ContentToolbar.test.js,Gary Paige,66,66,1
src/components/Content/DrawerContainer/ContentToolbar/index.js,Gary Paige,1,1,1
src/components/Content/DrawerContainer/DrawerContainer.js,Gary Paige,247,339,0.73
src/components/Content/DrawerContainer/DrawerContainer.scss,Gary Paige,32,32,1
src/components/Content/DrawerContainer/DrawerContainer.test.js,Gary Paige,128,131,0.98
src/components/Content/DrawerContainer/GeneralFeedback/GeneralFeedback.js,Jeff Tougas,12,24,0.5
src/components/Content/DrawerContainer/GeneralFeedback/GeneralFeedback.scss,Gary Paige,0,0,0
src/components/Content/DrawerContainer/GeneralFeedback/GeneralFeedback.test.js,Jeff Tougas,11,16,0.69
