entity,n-authors,n-revs
src/components/SearchResults/CardView/ResultCard/index.js,2,2
src/middleware/swebOutMiddleware.js,2,2
src/reducers/featureToggleReducer.js,2,2
src/selectors/featureToggleSelector.test.js,2,2
src/components/MostRecent/MostRecent.scss,2,2
src/middleware/featureToggleMiddleware.js,2,2
src/connectors/withErrors/ErrorHandler.js,2,2
src/components/searchFilters/SelectFieldRefinementList/SelectFieldRefinementList.js,2,2
src/components/searchFilters/NestedList/NestedList.js,2,2
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/index.js,2,2
src/components/ContentFlow/SearchResults/ContentFlowSearchResults.test.js,2,2
src/Content/index.css,2,2
src/components/searchFilters/ApplyTags/ApplyTags.js,2,2
src/reducers/contentFlowReducer.js,2,2
src/middleware/featureToggleMiddleware.test.js,2,2
src/components/ContentFlow/SearchResults/ContentFlowSearchResults.js,2,2
main.js,2,2
src/components/MostRecent/index.js,2,2
src/reducers/searchReducer.js,2,2
src/__mocks__/routerMock.js,2,2
src/clients/sharedWorkerEventBusClient.js,2,2
src/components/MostViewed/index.js,2,2
src/Home/index.js,2,2
src/components/searchFilters/NestedList/index.js,2,2
src/components/searchFilters/SortBy/SortBy.js,2,2
src/reducers/technicianReducer.js,2,2
src/connectors/withErrors/index.js,2,2
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/index.js,2,2
src/components/Activities/Activities.test.js,2,2
src/actions/technicianActions.js,2,2
src/searchFilters/SortBy/index.js,2,2
src/reducers/contentDetailReducer.test.js,2,2
src/reducers/technicianReducer.test.js,2,2
src/constants/healthStates.js,2,2
src/components/searchFilters/SortBy/index.js,2,2
src/components/searchFilters/SelectFieldRefinementList/index.js,2,2
src/components/searchFilters/CheckBoxRefinementList/index.js,2,2
src/reducers/searchReducer.test.js,2,2
src/selectors/featureToggleSelector.js,2,2
src/constants/ActionTypes.js,2,2
src/middleware/analyticsDispatcher.test.js,2,2
src/stories/index.js,2,2
src/reducers/featureToggleReducer.test.js,2,2
src/clients/featureToggleClient.test.js,2,2
.storybook/config.js,2,2
locales/en/feedback.json,2,2
src/components/SearchResults/ListView/ListView.test.js,2,2
src/actions/featureActions.test.js,2,2
src/components/searchFilters/CheckBoxRefinementList/CheckBoxRefinementList.js,2,2
src/middleware/dapulseClient.test.js,2,2
src/actions/featureActions.js,2,2
src/reducers/session.test.js,2,2
src/middleware/contentFlowMiddleware.test.js,2,2
test/cucumber_reports/helix_cucumber_reports_qa.json,2,2
src/components/searchFilters/ApplyTags/index.js,2,2
src/middleware/sharedWorkerMiddleware.test.js,2,2
src/searchFilters/ApplyTags/index.js,2,2
tools/test.js,2,2
src/components/SearchResults/ResultCard/index.js,2,2
src/techNotifications/index.js,2,2
src/components/ContentFlow/SearchResults/index.js,2,2
src/middleware/supportSessionMiddleware.test.js,2,2
src/actions/technicianActions.test.js,2,2
public/assets/images/mostViewed_icon.png,2,2
.flowconfig,2,2
src/components/KnowledgeAlerts/KnowledgeAlerts.test.js,1,10
src/components/Search/Search.js,1,9
test/features/step_definitions/soluto-helix.js,1,9
src/components/ContentTabs/ContentTabs.js,1,6
src/reducers/helixTabReducer.js,1,6
src/components/Search/Search.test.js,1,5
src/components/Content/DrawerContainer/AlertList/AlertList.js,1,5
src/components/Content/DrawerContainer/AlertList/AlertList.test.js,1,5
test/features/support/commandLineUitilityHelper.js,1,5
src/clients/algoliaClient.test.js,1,5
src/components/SearchBox/SearchField.scss,1,5
src/components/Content/DrawerContainer/AlertList/AlertList.scss,1,4
src/CustomHits/index.js,1,4
src/components/ApplicationError/ApplicationError.test.js,1,4
src/components/Content/index.scss,1,4
test/features/support/hooks.js,1,4
src/components/ContentTabs/ContentTabs.scss,1,4
src/reducers/helixTabReducer.test.js,1,4
src/components/Loading/Loading.js,1,4
src/utils/eventBusWorker/onmessage.js,1,4
src/components/ContentTabs/ContentTabs.test.js,1,4
src/components/Loading/Loading.test.js,1,4
src/connectors/connectSharedWorker/connectSharedWorker.test.js,1,4
src/components/Header/ResultsCounter.test.js,1,4
public/assets/images/logo.png,1,4
src/components/Content/DrawerContainer/DrawerContainer.scss,1,4
src/middleware/triageMiddleware.js,1,4
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.scss,1,4
test/README.md,1,4
src/actions/contentDetailActions.js,1,4
src/components/ApplicationError/ApplicationError.scss,1,3
src/reducers/activityStatusReducers.js,1,3
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.test.js,1,3
src/components/SearchResults/ResultCard/ResultCard.css,1,3
src/components/Search/Pagination.js,1,3
.babelrc,1,3
src/actions/tabActions.js,1,3
src/reducers/routeSchemeReducer.test.js,1,3
src/constants/Activities.js,1,3
src/actions/index.js,1,3
src/components/Loading/Loading.scss,1,3
src/actions/contentDetailActions.test.js,1,3
src/components/Login/Login.js,1,3
src/actions/tabActions.test.js,1,3
src/clients/gapiClient.test.js,1,3
src/components/Login/Login.test.js,1,3
src/utils/mixPanelEvents.js,1,3
src/connectors/connectSharedWorker/__mocks__/connectSharedWorker.js,1,3
src/selectors/activitiesSelector.js,1,3
src/clients/__mocks__/gapiClient.js,1,3
src/components/TabMenu/TabMenu.scss,1,3
src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.js,1,3
src/components/Search/Pagination.test.js,1,3
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.js,1,3
src/reducers/routeSchemeReducer.js,1,3
src/components/Search/ResultsCounter.js,1,3
src/reducers/activityStatusReducers.test.js,1,3
test/features/support/environmentConfig.js,1,3
src/actions/activitiesActions.test.js,1,3
src/components/TabMenu/TabMenu.test.js,1,3
src/styles/orig.css,1,3
src/selectors/activitiesSelector.test.js,1,3
src/connectors/withSharedWorkerEventBus/__mocks__/connectSharedWorkerEventBus.js,1,3
src/middleware/contentTabsMiddleware.js,1,3
.eslintignore,1,3
public/assets/images/resizeDrawerIcon.svg,1,2
src/actions/helixStateActions.js,1,2
src/components/SearchResults/CardView/ResultCard/Footer.js,1,2
src/selectors/tabSelector.js,1,2
src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.test.js,1,2
src/connectors/connectSharedWorker/index.js,1,2
src/components/Content/GeneralFeedback/GeneralFeedback.js,1,2
src/reducers/helixStateReducer.js,1,2
src/selectors/tabSelector.test.js,1,2
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.test.js,1,2
src/components/Login/index.js,1,2
src/actions/authenticationActions.js,1,2
src/components/Content/DrawerContainer/ContentToolbar/index.js,1,2
src/reducers/helixStateReducer.test.js,1,2
src/middleware/activitiesMiddleware.js,1,2
src/utils/form/semanticFormField.js,1,2
src/selectors/userSelector.js,1,2
src/components/Header/HeaderComponent.js,1,2
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.test.js,1,2
src/utils/operatingSystem.js,1,2
src/actions/sharedWorkerEventBusActions.test.js,1,2
src/components/Header/index.js,1,2
src/selectors/routeSelector.js,1,2
src/selectors/healthSelector.js,1,2
src/components/Content/DrawerContainer/GeneralFeedback/GeneralFeedback.scss,1,2
src/styles/semantic-ui/site/modules/tab.overrides,1,2
src/reducers/currentCarrier.test.js,1,2
src/middleware/triageMiddleware.test.js,1,2
